,Date,Type,Country,Activity,Sex,Fatal (Y/N),Year
3679,28-Jun-1964,Invalid,USA,Attempting to swim across the Atlantic Ocean,F,,1964
3683,02-Jun-1964,Invalid,SOUTH AFRICA,Swimming,M,,1964
3688,28-Mar-1964,Unprovoked,AUSTRALIA,Surfing,M,N,1964
3690,05-Mar-1964,Unprovoked,USA,Skin diving ,M,N,1964
3697,08-Feb-1954,Unprovoked,SOUTH AFRICA,Body boarding,M,N,1954
3700,02-Feb-1964,Invalid,AUSTRALIA,Swimming,M,,1964
3702,Feb-1964,Unprovoked,USA,Floating,M,N,1964
3705,23-Jan-1964,Unprovoked,SOUTH AFRICA,Body surfing,M,N,1964
3706,22-Jan-1964,Unprovoked,SOUTH AFRICA,Standing,M,N,1964
3708,18-Jan-1964,Unprovoked,AUSTRALIA,Freediving,M,N,1964
3709,11-Jan-1964,Unprovoked,USA,Spearfishing / Scuba diving (at surface),M,N,1964
3713,01-Jan-1964,Unprovoked,SOUTH AFRICA,Diving for sinkers,M,N,1964
3715,29-Dec-1963,Unprovoked,SOUTH AFRICA,Standing,F,N,1963
3716,26-Dec-1963,Unprovoked,SOUTH AFRICA,Swimming ,M,N,1963
3717,26-Dec-1963,Unprovoked,AUSTRALIA,Sitting on gunwale of boat,M,N,1963
